iter	Passed	Remaining
0	1	114
1	2	109
2	3	103
3	3	95
4	5	97
5	6	95
6	6	92
7	7	88
8	8	85
9	9	82
10	9	79
11	10	77
12	11	75
13	11	73
14	12	71
15	13	69
16	14	68
17	14	67
18	15	65
19	16	64
20	16	62
21	17	61
22	17	60
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	21	52
29	22	52
30	23	51
31	23	50
32	24	49
33	24	48
34	25	47
35	26	46
36	26	45
37	27	44
38	27	43
39	28	42
40	29	41
41	29	40
42	30	39
43	30	39
44	31	38
45	32	37
46	33	37
47	33	36
48	34	36
49	35	35
50	36	35
51	37	34
52	38	33
53	39	33
54	39	32
55	40	32
56	41	31
57	42	30
58	43	30
59	44	29
60	45	28
61	46	28
62	47	27
63	48	27
64	49	26
65	50	26
66	51	25
67	52	24
68	53	23
69	54	23
70	55	22
71	55	21
72	56	21
73	57	20
74	58	19
75	59	18
76	60	18
77	61	17
78	62	16
79	63	15
80	63	15
81	64	14
82	65	13
83	66	12
84	67	11
85	68	11
86	69	10
87	70	9
88	72	8
89	74	8
90	75	7
91	76	6
92	77	5
93	78	5
94	79	4
95	80	3
96	81	2
97	82	1
98	82	0
99	83	0
